14.0,19.0,23.0,27.0,47.0,51.0,60.0,66.0,74.0
11.0,15.0,23.0,38.0,51.0,57.0,62.0,66.0,74.0
13.0,17.0,29.0,34.0,43.0,49.0,54.0,58.0,72.0
11.0,17.0,33.0,41.0,45.0,49.0,53.0,62.0,73.0
10.0,14.0,25.0,33.0,43.0,47.0,54.0,58.0,67.0
10.0,18.0,25.0,29.0,34.0,53.0,57.0,69.0,73.0
11.0,20.0,30.0,34.0,39.0,43.0,55.0,69.0,73.0
10.0,14.0,19.0,37.0,47.0,55.0,59.0,64.0,71.0
17.0,23.0,28.0,41.0,45.0,51.0,58.0,65.0,73.0
11.0,17.0,23.0,27.0,34.0,42.0,46.0,64.0,73.0
10.0,22.0,30.0,34.0,39.0,43.0,49.0,58.0,63.0
18.0,23.0,27.0,39.0,50.0,56.0,60.0,69.0,73.0
14.0,23.0,28.0,43.0,54.0,60.0,64.0,68.0,74.0
12.0,18.0,23.0,34.0,38.0,55.0,61.0,66.0,74.0
11.0,21.0,27.0,32.0,45.0,50.0,54.0,62.0,71.0
12.0,18.0,23.0,34.0,41.0,46.0,51.0,61.0,69.0
10.0,20.0,25.0,31.0,39.0,46.0,52.0,66.0,72.0
12.0,19.0,25.0,29.0,34.0,46.0,55.0,67.0,74.0
13.0,18.0,22.0,28.0,38.0,47.0,58.0,66.0,73.0
11.0,16.0,32.0,44.0,50.0,55.0,59.0,63.0,70.0
14.0,20.0,24.0,30.0,35.0,44.0,54.0,58.0,69.0
11.0,18.0,22.0,31.0,35.0,54.0,59.0,70.0,74.0
11.0,17.0,22.0,36.0,43.0,48.0,57.0,65.0,72.0
14.0,18.0,22.0,31.0,37.0,46.0,51.0,63.0,71.0
11.0,21.0,25.0,30.0,42.0,50.0,60.0,64.0,70.0
12.0,16.0,29.0,34.0,40.0,47.0,55.0,68.0,72.0
14.0,19.0,24.0,32.0,36.0,47.0,53.0,65.0,69.0
12.0,26.0,30.0,34.0,46.0,51.0,58.0,67.0,72.0
15.0,19.0,34.0,38.0,44.0,51.0,56.0,64.0,73.0
11.0,22.0,31.0,38.0,51.0,58.0,62.0,67.0,74.0
10.0,19.0,34.0,45.0,53.0,57.0,61.0,65.0,71.0
15.0,19.0,30.0,36.0,44.0,50.0,55.0,67.0,72.0
